LOC_ID,ID_Provincia,CPA,Localidad,Provincia,Departamento,Long,Lat,noLNG,noLAT,ID_GEO,DeptoID,observaciones,fuente coordenadas
3013,Z,Z9011CAO,CALETA OLIVIA,SANTA CRUZ,DESEADO,"-67,5333","-46,4333","-67,53333","-46,43333",17131,D7,,coincidentes varias bases
3038,Z,Z9013CSC,CAÑADON SECO,SANTA CRUZ,DESEADO,"-67,5833","-46,5500","-67,61798","-46,55872",17145,D7,,mapawi
19684,Z,Z9011,LA ESTHER,SANTA CRUZ,DESEADO,"-67,5333","-46,3333",0,0,17220,Z1,coordenadas de Caleta Olivia,wikipedia
19714,Z,Z9017,LAS HERAS,SANTA CRUZ,DESEADO,"-68,95","-46,55",,,17250,Z1,,
2347,Z,Z9015PTR,PICO TRUNCADO,SANTA CRUZ,DESEADO,"-67,9667","-46,8000","-67,95","-46,8",17283,D7,,coincidentes varias bases
2344,Z,Z9050PDE,PTO DESEADO,SANTA CRUZ,DESEADO,"-65,9000","-47,7500","-65,9","-47,75",17288,D7,,mapawi
19996,Z,Z9017,YEGUA MUERTA,SANTA CRUZ,DESEADO,"-69,6278","-46,6778",,,17319,Z1,,
19997,Z,Z9015,ZANJON DEL PESCADO,SANTA CRUZ,DESEADO,-68,"-47,0333",,,17320,Z1,,dices.net
2348,Z,Z9400RGA,RIO GALLEGOS,SANTA CRUZ,GUER AIKE,"-69,2167","-51,6333","-69,21667","-51,61667",17302,Z7,,coincidentes varias bases
2346,Z,Z9310PSJ,PTO.SAN JULIAN,SANTA CRUZ,MAGALLANES,"-67,7167","-49,3000","-67,70623","-49,31555",17289,Z4,,coincidentes varias bases
19454,Z,Z9311CMB,GOBERNADOR GREGORES,SANTA CRUZ,RIO CHICO,"-70,2500","-48,7667","-70,2411","-48,74532",17198,Z3,,coincidentes varias bases
3020,S,S3060,CAMPO SAN JOSE,SANTA FE,9 DE JULIO,"-61,725","-29,0083",,,17449,S3,,
21327,S,S3061DJD,EL NOCHERO,SANTA FE,9 DE JULIO,"-61,6690","-28,7452","-61,48607","-28,82179",17647,S3,,coincidentes varias bases
21608,S,S3541,GATO COLORADO,SANTA FE,9 DE JULIO,"-61,0417","-27,7417",,,17730,S3,,
4611,S,S3061GPD,GREGORIA PEREZ DE DENIS,SANTA FE,9 DE JULIO,"-61,5333","-28,2333","-61,53333","-28,23333",17743,S3,,acageopc
3280,S,S3066,LOGROÑO,SANTA FE,9 DE JULIO,"-61,7","-29,5",,,17918,S3,,
3366,S,S3061,POZO BORRADO,SANTA FE,9 DE JULIO,"-61,6833","-28,9333",,,18030,S3,,
27250,S,S3061FCN,SAN BERNARDO,SANTA FE,9 DE JULIO,"-61,5333","-28,6500","-60,57142","-30,88863",18096,S3,,coincidentes varias bases
2175,S,S3060TOS,TOSTADO,SANTA FE,9 DE JULIO,"-61,7667","-29,2333","-61,76667","-29,23333",18194,S3,,coincidentes varias bases
3519,S,S3061VMI,VILLA MINETTI,SANTA FE,9 DE JULIO,"-61,6500","-28,6167","-61,62815","-28,61287",18236,S3,,coincidentes varias bases
2887,S,S2508ARG,ARMSTRONG,SANTA FE,BELGRANO,"-61,6078","-32,7817","-61,6","-32,78333",17348,S13,,coincidentes varias bases
4488,S,S2523BQT,BOUQUET,SANTA FE,BELGRANO,"-61,9000","-32,4167","-61,88333","-32,43333",17389,S13,,coincidentes varias bases
2134,S,S2505LPA,LAS PAREJAS,SANTA FE,BELGRANO,"-61,5333","-32,6833","-61,57014","-32,68274",17903,S13,,coincidentes varias bases
2136,S,S2520LRO,LAS ROSAS,SANTA FE,BELGRANO,"-61,5861","-32,4769","-61,58333","-32,48333",17906,S13,,coincidentes varias bases
2139,S,S2521MDO,MONTES DE OCA,SANTA FE,BELGRANO,"-61,7667","-32,5833","-61,76667","-32,58333",17981,S13,,coincidentes varias bases
3470,S,S2512TTS,TORTUGAS,SANTA FE,BELGRANO,"-61,8167","-32,7333","-61,81667","-32,75",18193,S13,,coincidentes varias bases
2092,S,S2183ARQ,AREQUITO,SANTA FE,CASEROS,"-61,4667","-33,1500","-61,48333","-33,15",17345,S17,,coincidentes varias bases
2094,S,S2187ART,ARTEAGA,SANTA FE,CASEROS,"-61,8000","-33,0833","-61,78333","-33,08333",17359,S17,,coincidentes varias bases
2999,S,S2639BBV,BERABEVU,SANTA FE,CASEROS,"-61,8667","-33,3333","-61,86667","-33,33333",17379,S17,,acageopc
2099,S,S2177BIG,BIGAND,SANTA FE,CASEROS,"-61,1833","-33,3833","-61,2","-33,36667",17384,S17,,coincidentes varias bases
2106,S,S2170CAS,CASILDA,SANTA FE,CASEROS,"-61,1681","-33,0442","-61,18333","-33,05",17483,S17,,coincidentes varias bases
2110,S,S2173CHA,CHABAS,SANTA FE,CASEROS,"-61,3667","-33,2500","-61,36667","-33,25",17493,S17,,coincidentes varias bases
2111,S,S2643CHL,CHAÑAR LADEADO,SANTA FE,CASEROS,"-62,0333","-33,3167","-62,03333","-33,31667",17494,S17,,acageopc
21057,S,S2185,COLONIA TOSCANA SEGUNDA,SANTA FE,CASEROS,"-61,7092","-33,1128",,,17585,S17,,
3115,S,S2639CES,CUATRO ESQUINAS,SANTA FE,CASEROS,"-61,8583","-33,3583","-61,55315","-32,86872",17610,S17,,coincidentes varias bases
3195,S,S2639GKN,GODEKEN,SANTA FE,CASEROS,"-61,8430","-33,4007","-61,84302","-33,40066",17735,S17,,acageopc
2681,S,S2181LOS,LOS MOLINOS,SANTA FE,CASEROS,"-61,3333","-33,1167","-61,33333","-33,11667",17937,S17,,coincidentes varias bases
